shipment_id,export_country,import_country,commodity,hs_code,quantity,declared_value_usd,transport_mode,departure_port,arrival_port,transit_time_days,delay_status,contract_value_usd,payment_terms,currency_exchange_rate,market_price_per_unit,price_volatility_index,anomaly_flag,weight_kg,shipping_cost_usd
SHP00027,China,South Africa,Agricultural,847130.0,538.0,89896.0,Rail,Shanghai,Addis Ababa,20.0,Delayed,90698.0,Prepaid,24.86,344.85,0.46,1.0,967.7,1108.25
SHP00028,China,Egypt,Minerals,843890.0,4111.0,35306.0,Road,Shenzhen,Durban,9.0,On-Time,34651.0,Prepaid,68.78,1552.32,0.14,1.0,52265.27,72884.86
SHP00029,China,Ethiopia,Agricultural,260300.0,3773.0,25932.0,Rail,Shenzhen,Cairo,39.0,Delayed,25946.0,Prepaid,24.72,1050.88,0.37,1.0,12713.72,10023.58
SHP00030,China,Nigeria,Electronics,260300.0,1204.0,9499.0,Ship,Guangzhou,Addis Ababa,26.0,On-Time,10195.0,Credit,45.48,257.0,0.09,0.0,685.89,513.02
SHP00031,China,South Africa,Electronics,843890.0,1495.0,131063.0,Air,Qingdao,Cairo,27.0,On-Time,131947.0,On Delivery,20.95,919.56,0.25,0.0,2109.92,10875.93
SHP00032,China,Egypt,Electronics,843890.0,3284.0,55108.0,Road,Guangzhou,Addis Ababa,38.0,On-Time,54908.0,On Delivery,35.33,540.57,0.19,0.0,2482.0,4065.45
SHP00033,China,South Africa,Machinery,260300.0,1268.0,91416.0,Ship,Qingdao,Tema,35.0,On-Time,91370.0,Credit,26.69,799.28,0.13,0.0,15979.42,7558.84
SHP00034,China,Tanzania,Textiles,847130.0,3486.0,81213.0,Road,Shenzhen,Addis Ababa,10.0,On-Time,80438.0,Credit,25.48,1937.08,0.34,0.0,3343.45,4764.47
SHP00035,China,Tanzania,Electronics,260300.0,4598.0,98179.0,Road,Qingdao,Tema,21.0,On-Time,98394.0,On Delivery,45.71,535.45,0.47,1.0,8958.96,10595.63
SHP00036,China,South Africa,Electronics,843890.0,2574.0,87989.0,Ship,Shenzhen,Mombasa,8.0,On-Time,88757.0,Prepaid,66.79,995.6,0.28,1.0,4408.22,1128.78
SHP00037,China,Ethiopia,Textiles,260300.0,656.0,129019.0,Air,Beijing,Dar es Salaam,23.0,On-Time,129203.0,Credit,23.21,512.63,0.28,0.0,291.06,2985.83
SHP00038,China,Ethiopia,Agricultural,100610.0,619.0,108746.0,Air,Beijing,Tema,26.0,On-Time,109712.0,Credit,69.32,424.55,0.26,1.0,860.84,5818.95
SHP00039,China,South Africa,Machinery,847130.0,1459.0,110864.0,Air,Shanghai,Lagos,31.0,On-Time,110401.0,On Delivery,56.99,2601.88,0.46,1.0,54521.84,426319.54
SHP00040,China,Ghana,Minerals,843890.0,3000.0,115627.0,Ship,Shenzhen,Lagos,22.0,On-Time,115138.0,On Delivery,28.68,157.05,0.44,1.0,34806.86,5089.21
SHP00041,China,South Africa,Textiles,100610.0,1216.0,149475.0,Air,Qingdao,Tema,36.0,On-Time,149201.0,Prepaid,47.53,987.82,0.09,0.0,361.92,3837.97
SHP00042,China,Ethiopia,Textiles,260300.0,3311.0,27677.0,Rail,Beijing,Tema,24.0,On-Time,27358.0,Prepaid,57.85,1083.77,0.07,0.0,1973.82,1026.64
SHP00043,China,Nigeria,Textiles,100610.0,3174.0,8051.0,Rail,Beijing,Addis Ababa,7.0,On-Time,7824.0,On Delivery,5.04,1596.41,0.27,0.0,722.12,400.32
SHP00044,China,Ghana,Machinery,520942.0,4414.0,22019.0,Ship,Guangzhou,Mombasa,32.0,On-Time,21138.0,On Delivery,20.05,1319.72,0.05,0.0,204689.61,66486.67
SHP00045,China,South Africa,Agricultural,260300.0,790.0,37217.0,Rail,Qingdao,Cairo,25.0,On-Time,38148.0,Prepaid,29.51,524.02,0.09,0.0,1607.74,1592.25
SHP00046,China,Kenya,Agricultural,520942.0,2899.0,143877.0,Road,Beijing,Dar es Salaam,27.0,On-Time,144785.0,On Delivery,45.22,1552.51,0.33,0.0,10581.61,12114.54
SHP00047,China,Nigeria,Agricultural,100610.0,630.0,118429.0,Ship,Shanghai,Addis Ababa,31.0,On-Time,118528.0,Credit,40.27,480.15,0.07,0.0,1415.51,582.99
SHP00048,China,Nigeria,Agricultural,260300.0,3406.0,14435.0,Air,Guangzhou,Lagos,7.0,On-Time,13528.0,Credit,60.1,2112.46,0.24,0.0,10491.41,52576.52
SHP00049,China,South Africa,Textiles,843890.0,2315.0,126172.0,Rail,Beijing,Lagos,38.0,On-Time,126929.0,On Delivery,46.01,148.94,0.48,1.0,1475.51,1604.68
SHP00050,China,Ghana,Textiles,260300.0,2899.0,131131.0,Ship,Guangzhou,Cairo,33.0,On-Time,131813.0,Credit,35.96,2570.19,0.33,0.0,1008.51,828.29
SHP00051,China,Egypt,Agricultural,847130.0,4661.0,32663.0,Rail,Qingdao,Durban,26.0,Delayed,31920.0,Credit,3.32,1759.4,0.47,1.0,22737.94,19972.41
SHP00052,China,Tanzania,Agricultural,843890.0,1737.0,16938.0,Air,Shenzhen,Dar es Salaam,35.0,On-Time,16628.0,On Delivery,57.71,1879.69,0.41,1.0,7122.62,52352.48
SHP00053,China,Tanzania,Agricultural,520942.0,3963.0,87986.0,Ship,Qingdao,Dar es Salaam,31.0,On-Time,88616.0,Credit,27.34,121.69,0.31,0.0,18855.94,9012.15
SHP00054,China,Nigeria,Textiles,843890.0,2824.0,98008.0,Air,Qingdao,Addis Ababa,28.0,On-Time,98953.0,Credit,48.19,1025.17,0.14,0.0,2586.39,18512.08
SHP00055,China,Kenya,Minerals,520942.0,4024.0,8267.0,Rail,Beijing,Mombasa,13.0,Delayed,8710.0,Prepaid,30.13,2902.9,0.28,0.0,56209.24,37647.07
SHP00056,China,Nigeria,Electronics,843890.0,2554.0,52295.0,Air,Shanghai,Dar es Salaam,37.0,Delayed,52866.0,Credit,26.98,2330.36,0.18,1.0,4808.7,35885.37
SHP00057,China,Tanzania,Agricultural,843890.0,4182.0,49811.0,Ship,Shanghai,Addis Ababa,15.0,On-Time,49677.0,Credit,8.56,2708.15,0.26,0.0,5662.3,1730.06
SHP00058,China,Egypt,Electronics,260300.0,778.0,124180.0,Rail,Guangzhou,Durban,21.0,On-Time,123575.0,On Delivery,67.16,2542.19,0.18,1.0,617.71,730.5
SHP00059,China,Egypt,Minerals,843890.0,1869.0,56934.0,Ship,Shenzhen,Durban,21.0,On-Time,56077.0,Prepaid,32.22,883.17,0.17,0.0,10612.95,3507.52
SHP00060,China,South Africa,Textiles,260300.0,2988.0,92508.0,Air,Beijing,Lagos,38.0,Delayed,92675.0,Credit,55.59,278.16,0.25,1.0,1375.27,9434.21
SHP00061,China,Kenya,Minerals,100610.0,3032.0,93461.0,Rail,Guangzhou,Lagos,33.0,On-Time,93647.0,Credit,62.31,1055.99,0.07,0.0,32837.04,16115.12
SHP00062,China,Ghana,Agricultural,260300.0,1003.0,6542.0,Rail,Shanghai,Dar es Salaam,15.0,On-Time,6958.0,Credit,57.8,2120.2,0.05,0.0,2091.65,832.76
SHP00063,China,Kenya,Textiles,843890.0,3286.0,59693.0,Rail,Qingdao,Mombasa,21.0,On-Time,60081.0,On Delivery,26.89,2439.33,0.47,1.0,2835.79,2218.41
SHP00064,China,South Africa,Minerals,843890.0,4362.0,137396.0,Road,Shenzhen,Mombasa,6.0,On-Time,137671.0,Credit,7.22,2332.56,0.28,0.0,45152.37,33019.49
SHP00065,China,Ethiopia,Machinery,520942.0,4236.0,30289.0,Ship,Shanghai,Lagos,28.0,On-Time,30438.0,On Delivery,35.24,39.0,0.24,0.0,89961.54,14606.7
SHP00066,China,Ghana,Agricultural,843890.0,1131.0,35355.0,Air,Qingdao,Tema,30.0,On-Time,35249.0,On Delivery,45.97,2239.4,0.3,0.0,3586.16,29954.49
SHP00067,China,Ghana,Agricultural,843890.0,4335.0,71040.0,Rail,Beijing,Durban,27.0,Delayed,70973.0,On Delivery,31.39,2407.32,0.49,1.0,6778.63,5535.95
SHP00068,China,Ethiopia,Textiles,520942.0,1902.0,133148.0,Ship,Shanghai,Addis Ababa,18.0,On-Time,132350.0,Prepaid,64.46,762.71,0.35,0.0,1601.02,821.79
SHP00069,China,Ethiopia,Machinery,847130.0,3562.0,119065.0,Road,Guangzhou,Addis Ababa,16.0,On-Time,119601.0,Credit,44.49,1755.02,0.45,1.0,46241.98,46567.38
SHP00070,China,South Africa,Textiles,843890.0,1403.0,147047.0,Air,Guangzhou,Mombasa,18.0,Delayed,147018.0,Credit,8.81,1010.3,0.09,0.0,1388.28,13327.39
SHP00071,China,Ghana,Minerals,843890.0,4235.0,107023.0,Ship,Beijing,Durban,30.0,On-Time,106063.0,On Delivery,19.31,1362.46,0.03,0.0,70231.85,33627.62
SHP00072,China,Nigeria,Machinery,847130.0,2558.0,102007.0,Rail,Shenzhen,Dar es Salaam,31.0,On-Time,102577.0,Credit,57.84,2849.65,0.37,0.0,45912.59,40031.72
SHP00073,China,Tanzania,Electronics,100610.0,1888.0,134473.0,Air,Qingdao,Tema,12.0,Delayed,134738.0,Credit,39.28,498.68,0.21,0.0,959.64,7967.9
SHP00074,China,South Africa,Machinery,100610.0,4519.0,32712.0,Rail,Qingdao,Cairo,20.0,Delayed,31888.0,Prepaid,27.31,2249.99,0.2,0.0,192592.81,98923.97
SHP00075,China,Nigeria,Electronics,260300.0,4834.0,51540.0,Air,Shenzhen,Durban,35.0,On-Time,51662.0,On Delivery,10.67,45.95,0.05,0.0,7542.42,75131.02
SHP00076,China,Egypt,Agricultural,100610.0,4621.0,103142.0,Air,Shanghai,Lagos,7.0,Delayed,103602.0,Credit,41.58,2179.73,0.38,0.0,18095.97,115353.65
SHP00077,China,South Africa,Agricultural,843890.0,4228.0,149528.0,Ship,Beijing,Mombasa,23.0,On-Time,150429.0,Prepaid,18.72,827.82,0.11,0.0,17271.72,3357.27
SHP00078,China,Ethiopia,Minerals,847130.0,4594.0,42744.0,Road,Beijing,Tema,34.0,On-Time,41838.0,Credit,9.28,2016.36,0.26,0.0,28072.42,26788.55
SHP00079,China,Kenya,Electronics,100610.0,2215.0,54922.0,Air,Shanghai,Addis Ababa,14.0,Delayed,54157.0,On Delivery,39.92,2630.58,0.21,0.0,2298.5,12285.74
SHP00080,China,South Africa,Minerals,843890.0,4769.0,24198.0,Ship,Qingdao,Lagos,25.0,On-Time,24050.0,Prepaid,45.3,2416.11,0.45,1.0,32133.69,16040.42
SHP00081,China,Ghana,Electronics,843890.0,4909.0,11949.0,Road,Qingdao,Addis Ababa,36.0,On-Time,12307.0,On Delivery,31.47,2712.96,0.18,0.0,8809.96,9949.06
SHP00082,China,Ghana,Minerals,260300.0,4311.0,102239.0,Road,Qingdao,Dar es Salaam,17.0,On-Time,101997.0,Credit,37.37,2094.44,0.4,0.0,61860.57,65553.66
SHP00083,China,Egypt,Machinery,100610.0,187.0,60479.0,Rail,Shanghai,Tema,19.0,On-Time,61010.0,On Delivery,6.04,142.35,0.31,0.0,4345.12,3488.2
SHP00084,China,Kenya,Machinery,100610.0,4350.0,109573.0,Rail,Shanghai,Addis Ababa,13.0,On-Time,109333.0,Prepaid,33.02,1756.37,0.21,0.0,54559.15,35479.78
SHP00085,China,Nigeria,Agricultural,843890.0,949.0,130827.0,Air,Beijing,Addis Ababa,27.0,Delayed,131045.0,On Delivery,36.79,2919.47,0.3,0.0,2129.49,11258.84
SHP00086,China,Tanzania,Machinery,843890.0,3172.0,62108.0,Road,Shanghai,Mombasa,7.0,On-Time,61789.0,Prepaid,13.63,270.66,0.07,0.0,72979.26,81245.65
SHP00087,China,Kenya,Minerals,260300.0,573.0,56745.0,Ship,Beijing,Cairo,16.0,On-Time,57691.0,On Delivery,4.19,2399.23,0.32,0.0,9135.97,3690.77
SHP00088,China,Nigeria,Agricultural,847130.0,2336.0,123831.0,Air,Shenzhen,Cairo,19.0,On-Time,124111.0,Prepaid,7.29,1793.85,0.49,1.0,8293.34,58937.91
SHP00089,China,Kenya,Textiles,520942.0,352.0,136127.0,Ship,Shenzhen,Durban,24.0,On-Time,135154.0,Prepaid,26.77,1390.29,0.38,0.0,320.24,369.03
SHP00090,China,Ghana,Machinery,847130.0,4671.0,141198.0,Ship,Qingdao,Mombasa,5.0,Delayed,140947.0,Credit,52.85,96.26,0.43,1.0,134938.64,25796.36
SHP00091,China,Ghana,Textiles,847130.0,1956.0,51271.0,Air,Qingdao,Durban,27.0,On-Time,50298.0,Credit,2.87,969.63,0.11,0.0,578.34,3801.57
SHP00092,China,Ethiopia,Electronics,847130.0,175.0,52915.0,Ship,Shanghai,Mombasa,27.0,Delayed,53150.0,Credit,33.97,1068.54,0.33,0.0,274.73,315.21
SHP00093,China,Egypt,Agricultural,843890.0,1219.0,31734.0,Air,Shenzhen,Dar es Salaam,38.0,On-Time,30767.0,Prepaid,39.71,1761.67,0.29,0.0,4928.59,34190.0
SHP00094,China,South Africa,Electronics,260300.0,2522.0,53447.0,Rail,Guangzhou,Lagos,36.0,On-Time,52761.0,On Delivery,69.08,1819.3,0.13,1.0,3384.31,3381.88
SHP00095,China,Tanzania,Electronics,260300.0,2759.0,121421.0,Air,Guangzhou,Cairo,8.0,On-Time,120936.0,Credit,59.78,268.22,0.4,0.0,4570.15,41849.16
SHP00096,China,Kenya,Minerals,520942.0,3785.0,129040.0,Air,Beijing,Tema,5.0,On-Time,129103.0,On Delivery,49.24,2991.78,0.45,1.0,46960.24,324738.78
SHP00097,China,Tanzania,Textiles,100610.0,517.0,127883.0,Air,Qingdao,Durban,17.0,Delayed,127763.0,Prepaid,35.12,2170.07,0.41,1.0,319.6,2709.41
SHP00098,China,Ethiopia,Machinery,100610.0,4339.0,5846.0,Ship,Beijing,Tema,13.0,On-Time,6304.0,Prepaid,58.94,619.21,0.48,1.0,117594.02,45794.88
SHP00099,China,Ghana,Electronics,100610.0,1860.0,132534.0,Air,Guangzhou,Cairo,3.0,On-Time,131853.0,On Delivery,7.48,1520.78,0.47,1.0,1000.92,6241.74
SHP00100,China,Kenya,Agricultural,843890.0,2076.0,52362.0,Road,Shanghai,Tema,35.0,On-Time,51371.0,On Delivery,39.08,1649.02,0.11,0.0,2971.93,2335.67
SHP00101,China,Egypt,Textiles,260300.0,3763.0,13512.0,Road,Beijing,Addis Ababa,39.0,On-Time,13288.0,Prepaid,42.3,1417.37,0.21,0.0,847.21,1637.17
SHP00102,China,South Africa,Minerals,100610.0,3727.0,47078.0,Air,Shanghai,Durban,7.0,Delayed,46313.0,On Delivery,29.48,2799.15,0.5,1.0,54213.52,438537.38
SHP00103,China,Tanzania,Agricultural,843890.0,2685.0,78698.0,Rail,Qingdao,Dar es Salaam,37.0,Delayed,79041.0,Prepaid,40.85,2526.28,0.08,1.0,6061.18,6352.33
SHP00104,China,South Africa,Electronics,520942.0,922.0,63596.0,Ship,Beijing,Lagos,16.0,On-Time,63910.0,Credit,12.75,2444.65,0.34,0.0,1164.35,433.74
SHP00105,China,Kenya,Agricultural,260300.0,2671.0,25611.0,Rail,Shanghai,Lagos,27.0,Delayed,24699.0,Prepaid,48.28,1358.59,0.36,0.0,12367.44,10066.52
SHP00106,China,Egypt,Minerals,100610.0,3812.0,78340.0,Road,Shanghai,Lagos,35.0,On-Time,77482.0,Credit,41.06,1069.31,0.2,0.0,33314.53,24423.2
SHP00107,China,South Africa,Minerals,520942.0,4083.0,132796.0,Rail,Guangzhou,Tema,8.0,Delayed,132186.0,Credit,51.54,2082.68,0.09,0.0,45548.9,22072.84
SHP00108,China,Kenya,Agricultural,847130.0,2085.0,30053.0,Air,Guangzhou,Cairo,29.0,On-Time,29602.0,Credit,53.04,2122.41,0.39,0.0,8386.3,63686.32
SHP00109,China,Nigeria,Agricultural,843890.0,2386.0,108677.0,Rail,Shanghai,Lagos,6.0,On-Time,109222.0,Prepaid,35.34,2265.13,0.06,0.0,4569.65,2453.28
SHP00110,China,Ghana,Agricultural,260300.0,4960.0,76907.0,Road,Shenzhen,Mombasa,26.0,On-Time,75921.0,Prepaid,56.11,454.0,0.12,0.0,6487.28,4591.05
SHP00111,China,Kenya,Machinery,843890.0,2941.0,139828.0,Rail,Shanghai,Lagos,4.0,On-Time,139454.0,Prepaid,49.04,1630.46,0.13,0.0,63496.36,30773.29
SHP00112,China,Kenya,Electronics,520942.0,2166.0,76315.0,Rail,Shanghai,Tema,13.0,Delayed,76186.0,Credit,41.46,1205.55,0.24,0.0,1606.81,652.25
SHP00113,China,South Africa,Minerals,260300.0,2399.0,95474.0,Air,Shanghai,Addis Ababa,14.0,Delayed,96113.0,Credit,36.15,1836.31,0.02,0.0,45450.17,387471.72
SHP00114,China,Ethiopia,Agricultural,100610.0,877.0,32306.0,Air,Beijing,Durban,14.0,On-Time,32313.0,On Delivery,49.22,2767.89,0.36,0.0,3711.89,27832.86
SHP00115,China,Kenya,Textiles,847130.0,3227.0,32632.0,Road,Beijing,Durban,30.0,On-Time,33560.0,On Delivery,30.55,2210.65,0.47,1.0,2280.6,1655.23
SHP00116,China,Ghana,Agricultural,520942.0,3847.0,149790.0,Ship,Guangzhou,Durban,3.0,On-Time,150218.0,Prepaid,12.84,563.03,0.42,1.0,17257.04,2940.88
SHP00117,China,Ethiopia,Minerals,520942.0,3122.0,105158.0,Rail,Shenzhen,Addis Ababa,17.0,On-Time,105126.0,On Delivery,52.48,620.71,0.4,0.0,53245.96,19965.47
SHP00118,China,Ethiopia,Minerals,843890.0,624.0,68731.0,Rail,Shanghai,Durban,27.0,Delayed,69560.0,Credit,25.22,1044.12,0.37,0.0,4866.3,3816.63
SHP00119,China,South Africa,Machinery,100610.0,3650.0,142855.0,Road,Shanghai,Cairo,26.0,On-Time,143058.0,Credit,30.2,2744.96,0.19,0.0,166813.61,99382.38
SHP00120,China,Egypt,Textiles,843890.0,4208.0,9757.0,Ship,Shanghai,Dar es Salaam,28.0,On-Time,10249.0,On Delivery,36.79,2926.75,0.23,0.0,2657.24,1347.45
SHP00121,China,South Africa,Electronics,843890.0,4293.0,57853.0,Ship,Guangzhou,Addis Ababa,24.0,On-Time,58577.0,Prepaid,14.14,902.29,0.16,0.0,7346.01,1034.87
SHP00122,China,Egypt,Electronics,843890.0,1039.0,97374.0,Road,Shanghai,Addis Ababa,21.0,On-Time,97043.0,Credit,14.56,114.47,0.24,0.0,1916.06,1645.85
SHP00123,China,Ethiopia,Textiles,847130.0,3545.0,69077.0,Road,Qingdao,Dar es Salaam,4.0,On-Time,69213.0,Credit,28.95,1681.12,0.09,0.0,1610.86,2280.17
SHP00124,China,South Africa,Machinery,843890.0,3385.0,134948.0,Road,Shanghai,Durban,5.0,On-Time,135429.0,Credit,62.97,1582.1,0.4,0.0,48751.03,59454.66
SHP00125,China,Egypt,Agricultural,260300.0,104.0,110947.0,Rail,Qingdao,Lagos,34.0,On-Time,111319.0,Prepaid,29.45,1657.41,0.13,0.0,198.82,409.8
SHP00126,China,South Africa,Textiles,520942.0,2540.0,68230.0,Rail,Shenzhen,Lagos,10.0,On-Time,68492.0,Prepaid,40.51,2662.94,0.28,0.0,1375.88,1303.6
SHP00127,China,Egypt,Minerals,520942.0,2193.0,92127.0,Ship,Shenzhen,Cairo,16.0,On-Time,91940.0,Credit,58.37,1194.56,0.34,0.0,37873.6,11416.57
SHP00128,China,Tanzania,Machinery,260300.0,872.0,52057.0,Ship,Shenzhen,Cairo,9.0,On-Time,52753.0,Credit,15.74,84.46,0.1,0.0,38742.28,17086.75
SHP00129,China,Ethiopia,Electronics,843890.0,1358.0,123865.0,Rail,Beijing,Cairo,4.0,Delayed,123573.0,Credit,24.91,781.97,0.2,0.0,693.16,539.43
SHP00130,China,Egypt,Machinery,520942.0,4616.0,121243.0,Rail,Shenzhen,Mombasa,7.0,On-Time,121522.0,Prepaid,39.32,1311.2,0.15,0.0,140464.38,109250.59
SHP00131,China,Ethiopia,Electronics,843890.0,3627.0,24063.0,Air,Shenzhen,Durban,25.0,On-Time,23783.0,Credit,34.71,1539.81,0.37,0.0,4084.42,40961.49
SHP00132,China,Tanzania,Minerals,260300.0,4083.0,104608.0,Air,Guangzhou,Durban,11.0,On-Time,104866.0,On Delivery,30.39,401.17,0.45,1.0,34017.99,209717.89
SHP00133,China,Ethiopia,Textiles,520942.0,2707.0,131678.0,Air,Guangzhou,Lagos,39.0,On-Time,131847.0,Credit,37.78,2446.09,0.25,0.0,800.98,6893.74
SHP00134,China,Ethiopia,Textiles,520942.0,2131.0,126829.0,Air,Guangzhou,Tema,14.0,On-Time,127726.0,Prepaid,11.09,794.73,0.14,0.0,1001.77,7454.53
SHP00135,China,Nigeria,Electronics,847130.0,4876.0,9263.0,Air,Shanghai,Lagos,36.0,On-Time,9083.0,On Delivery,13.51,2743.66,0.22,0.0,9334.44,48873.51
SHP00136,China,Tanzania,Textiles,520942.0,4847.0,133575.0,Road,Qingdao,Dar es Salaam,4.0,On-Time,133961.0,On Delivery,14.13,275.56,0.39,0.0,2222.65,1183.49
SHP00137,China,Tanzania,Textiles,843890.0,4174.0,62492.0,Road,Shenzhen,Addis Ababa,13.0,On-Time,63027.0,On Delivery,64.21,2165.99,0.31,0.0,2567.15,1719.65
SHP00138,China,Nigeria,Machinery,520942.0,1383.0,9853.0,Rail,Shenzhen,Lagos,24.0,On-Time,10165.0,On Delivery,19.99,1621.83,0.09,0.0,52721.01,40010.84
SHP00139,China,Egypt,Electronics,100610.0,3970.0,126789.0,Rail,Shanghai,Dar es Salaam,36.0,On-Time,127262.0,Credit,8.8,230.04,0.37,0.0,4150.41,3252.89
SHP00140,China,Kenya,Textiles,260300.0,1290.0,136132.0,Road,Qingdao,Tema,27.0,On-Time,135262.0,Credit,6.83,12.01,0.48,1.0,1260.88,1598.25
SHP00141,China,Kenya,Agricultural,847130.0,4247.0,93929.0,Road,Beijing,Mombasa,14.0,On-Time,93996.0,Credit,56.81,2886.49,0.4,0.0,20597.05,11094.68
SHP00142,China,Ethiopia,Minerals,843890.0,3690.0,99006.0,Air,Shenzhen,Addis Ababa,14.0,On-Time,98221.0,Credit,53.45,1918.65,0.38,0.0,32386.15,238065.34
SHP00143,China,Ghana,Machinery,520942.0,2471.0,110423.0,Road,Qingdao,Addis Ababa,8.0,Delayed,109888.0,On Delivery,35.03,667.52,0.49,1.0,73858.04,105299.85
SHP00144,China,Nigeria,Machinery,520942.0,96.0,42641.0,Air,Shenzhen,Addis Ababa,18.0,Delayed,43583.0,On Delivery,39.57,1422.26,0.16,0.0,2115.37,14962.12
SHP00145,China,Nigeria,Minerals,520942.0,4480.0,144892.0,Road,Shanghai,Mombasa,9.0,On-Time,144579.0,On Delivery,9.4,1268.18,0.4,0.0,41541.28,46820.72
